Timeperiod,Total Packets (for single host),UDP Packets (for single host),UDP Packets (for entire network),UDP packets reaching SDN (for entire network),SDN reachability percentage,Overhead (in percentage),"Overhead (in bandwidth, Kbits/sec)"
0,871363,867623,867623,704298,81.17557971607484,0.42921262435976737,3.212738882674062
1,872073,868724,868724,646933,74.46933663626191,0.38402748393769787,2.9073903497982143
2,882355,879262,879262,621617,70.69758502016464,0.3505391820752418,2.673069561978343
3,881941,879021,879021,531567,60.472616695164284,0.3310879072409606,2.5215801958962345
4,886417,883745,883745,528688,59.82359164691172,0.301438262127193,2.309345134612216
5,891205,888729,888729,502274,56.51599081384764,0.27782608939581804,2.14164687906827
6,892639,890296,890296,459798,51.64552014161582,0.26248012914515273,2.032549252940186
7,893593,891360,891360,465920,52.270687488781185,0.2498900506158844,1.9259364501510776
8,894556,892466,892466,446169,49.99282885846632,0.2336354571429849,1.8252429596599309
9,900061,898061,898061,412848,45.97104205616323,0.22220716151460845,1.7455983474003307
10,903776,901875,901875,489605,54.28745668745669,0.2103397301986333,1.6539289877471979
